Device_ID,Test_Type,Stress_Temperature_C,Stress_Voltage_V,Humidity_Percent,Failure_Time_Hours,Censored,Batch_ID
D0001,HTOL,100,4.0,40,2000.0,1,B3
D0002,HTOL,100,4.0,40,2000.0,1,B2
D0003,HTOL,100,4.0,40,2000.0,1,B1
D0004,HTOL,100,4.0,40,2000.0,1,B2
D0005,HTOL,100,4.0,40,1411.1392116559316,0,B1
D0006,HTOL,100,4.0,40,1042.2150064725486,0,B3
D0007,HTOL,100,4.0,40,1388.760118205722,0,B1
D0008,HTOL,100,4.0,40,253.420406328539,0,B1
D0009,HTOL,100,4.0,40,1119.5026745783314,0,B2
D0010,HTOL,100,4.0,40,1692.294784381314,0,B2
D0011,HTOL,100,4.0,40,2000.0,1,B3
D0012,HTOL,100,4.0,40,1896.52421470449,0,B2
D0013,HTOL,100,4.0,40,1819.621953078882,0,B1
D0014,HTOL,100,4.0,40,2000.0,1,B2
D0015,HTOL,100,4.0,40,1226.38715757284,0,B1
D0016,HTOL,100,4.0,40,2000.0,1,B2
D0017,HTOL,100,4.0,40,2000.0,1,B2
D0018,HTOL,100,4.0,40,2000.0,1,B1
D0019,HTOL,100,4.0,40,1794.378582600101,0,B4
D0020,HTOL,100,4.0,40,1348.1111143918627,0,B3
D0021,HTOL,100,4.0,40,1975.1461198988122,0,B4
D0022,HTOL,100,4.0,40,111.24675179003317,0,B2
D0023,HTOL,100,4.0,40,1237.467497296626,0,B1
D0024,HTOL,100,4.0,40,2000.0,1,B4
D0025,HTOL,100,4.0,40,2000.0,1,B2
D0026,HTOL,100,4.0,40,1617.4825271196996,0,B1
D0027,HTOL,100,4.0,40,2000.0,1,B3
D0028,HTOL,100,4.0,40,2000.0,1,B2
D0029,HTOL,100,4.0,40,420.0372684818167,0,B2
D0030,HTOL,100,4.0,40,1197.3828822554108,0,B1
D0031,HTOL,100,4.0,40,618.7297454090524,0,B1
D0032,HTOL,100,4.0,40,1606.3216652135657,0,B3
D0033,HTOL,100,4.0,40,2000.0,1,B4
D0034,HTOL,100,4.0,40,2000.0,1,B2
D0035,HTOL,100,4.0,40,1896.8148599323067,0,B1
D0036,HTOL,100,4.0,40,2000.0,1,B4
D0037,HTOL,100,4.0,40,2000.0,1,B4
D0038,HTOL,100,4.0,40,1830.3155896996623,0,B1
D0039,HTOL,100,4.0,40,562.6686049361483,0,B1
D0040,HTOL,100,4.0,40,2000.0,1,B2
D0041,HTOL,100,4.0,40,2000.0,1,B2
D0042,HTOL,100,4.0,40,1905.293788418398,0,B3
D0043,HTOL,100,4.0,40,483.3850358250259,0,B4
D0044,HTOL,100,4.0,40,1801.0300181452603,0,B1
D0045,HTOL,100,4.0,40,2000.0,1,B2
D0046,HTOL,100,4.0,40,1273.4837299532007,0,B1
D0047,HTOL,100,4.0,40,896.2909154091541,0,B4
D0048,HTOL,100,4.0,40,2000.0,1,B2
D0049,HTOL,100,4.0,40,2000.0,1,B2
D0050,HTOL,100,4.0,40,2000.0,1,B2
D0051,HTOL,100,4.0,40,2000.0,1,B2
D0052,HTOL,100,4.0,40,2000.0,1,B4
D0053,HTOL,100,4.0,40,2000.0,1,B4
D0054,HTOL,100,4.0,40,711.9348977275869,0,B2
D0055,HTOL,100,4.0,40,1082.1275236451072,0,B1
